TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
MEDICAMENTO;ZONIDRA;29/12/2023;Similar;102980592;122033;25351061026202116;ANTIGLAUCOMATOSOS;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Ativo;cloridrato de dorzolamida
MEDICAMENTO;CAPTOPRIL;28/02/2001;Genérico;112130229;022016;253510301630096;ANTI-HIPERTENSIVOS SIMPLES;53162095000106 - BIOSINTÉTICA FARMACÊUTICA LTDA;Inativo;captopril
MEDICAMENTO;CLORIDRATO DE CICLOBENZAPRINA;01/06/2009;Genérico;167730106;062029;25351528130200819;RELAXANTES MUSCULARES;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Inativo;cloridrato de ciclobenzaprina
MEDICAMENTO;GELMINEX;22/09/1999;Específico;105710099;092029;250000141619961;RUBEFACIENTES;18324343000177 - BELFAR LTDA;Inativo;salicilato de metila, cânfora, extrato fluido de beladona
MEDICAMENTO;LAXAVITA;12/09/2005;Fitoterápico;154000045;092010;25351215067200519;;56646953000186 - LABORATÓRIO VITALAB LTDA;Inativo;rhamnus purshiana dc.
MEDICAMENTO;MELHORAL C;16/06/1999;Similar;122830080;032009;2500001256392;ANALGESICOS NAO NARCOTICOS;67866665000234 - DM INDÚSTRIA FARMACÊUTICA LTDA;Inativo;acido acetilsalicilico, ácido acetil salicilico, ácido ascórbico
MEDICAMENTO;NEUREXAN;24/01/2011;Dinamizado;161980015;012026;25351124675200918;MEDICAMENTOS DINAMIZADOS COMPOSTOS;05994539000127 - HEEL DO BRASIL BIOMÉDICA LTDA;Inativo;avena sativa, coffea cruda, passiflora incarnata, zincum valerianicum
MEDICAMENTO;N?O DECLARADO;03/12/2013;DINAMIZADO;;;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Ativo;
MEDICAMENTO;N?O DECLARADO;05/10/2011;DINAMIZADO;;;;;92762277000170 - VIDORA FARMACEUTICA LTDA;Inativo;
MEDICAMENTO;TESTE;;Gases Medici;;072034;25351369695202478;;11111111000191 - EMPRESA DE TESTE LTDA. (VS01);Inativo;oxigênio, óxido nitroso
MEDICAMENTO;ZARMINE;30/11/2015;Similar;116180251;112025;25351334044201576;BETABLOQUEADORES SIMPLES;60318797000100 - ASTRAZENECA DO BRASIL LTDA;Inativo;succinato de metoprolol
