SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12 %;PF 12 %  ALC;PF 17 %;PF 17 %  ALC;PF 17,5 %;PF 17,5 %  ALC;PF 18 %;PF 18 %  ALC;PF 19 %;PF 19 %  ALC;PF 19,5 %;PF 19,5 %  ALC;PF 20 %;PF 20 %  ALC;PF 20,5 %;PF 20,5 %  ALC;PF 21 %;PF 21 %  ALC;PF 22 %;PF 22 %  ALC;PF 22,5 %;PF 22,5 %  ALC;PF 23 %;PF 23 %  ALC;PMC Sem Impostos;PMC 0 %;PMC 12 %;PMC 12 %  ALC;PMC 17 %;PMC 17 %  ALC;PMC 17,5 %;PMC 17,5 %  ALC;PMC 18 %;PMC 18 %  ALC;PMC 19 %;PMC 19 %  ALC;PMC 19,5 %;PMC 19,5 %  ALC;PMC 20 %;PMC 20 %  ALC;PMC 20,5 %;PMC 20,5 %  ALC;PMC 21 %;PMC 21 %  ALC;PMC 22 %;PMC 22 %  ALC;PMC 22,5 %;PMC 22,5 %  ALC;PMC 23 %;PMC 23 %  ALC;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2025;TARJA;DESTINAÇÃO COMERCIAL
"21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL";18.459.628/0001-15;BAYER S.A.;538912020009303;1705600230032;7891106000956;    -     ;    -     ;BAYCUTEN N;10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G;D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS;Novo;Regulado;27,44;30,73;34,92;31,18;37,02;33,06;37,25;33,26;37,48;33,46;37,94;33,87;38,17;34,08;38,41;34,30;38,65;34,51;38,90;34,73;39,40;35,18;39,65;35,40;39,91;35,63;37,93;41,22;46,84;43,10;49,66;45,70;49,97;45,98;50,28;46,26;50,90;46,82;51,20;47,11;51,53;47,42;51,85;47,71;52,18;48,01;52,85;48,63;53,19;48,94;53,54;49,26;Não;Não;Não;Não;;Negativa;Sim;- (*) ;
ABATACEPTE;56.998.982/0001-07;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;505107701157215;1018003900019;7896016806469;    -     ;    -     ;ORENCIA;250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL;M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS;Biológico;Regulado;2098,20;2123,68;2413,27;2384,31;2558,65;2527,95;2574,16;2543,27;2589,85;2558,78;2621,83;2590,37;2638,11;2606,45;2654,60;2622,74;2671,30;2639,24;2688,20;2655,94;2722,67;2689,99;2740,23;2707,35;2758,03;2724,93;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Sim;Não;Não;;Positiva;Sim;Tarja Vermelha;
ABATACEPTE;56.998.982/0001-07;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;505113100020505;1018003900078;7896016808197;    -     ;    -     ;ORENCIA;125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO;M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS;Biológico;Regulado;6662,98;6743,91;7663,54;7571,57;8125,19;8027,69;8174,43;8076,34;8224,28;8125,59;8325,82;8225,90;8377,53;8277,00;8429,89;8328,72;8482,91;8381,11;8536,60;8434,16;8646,04;8542,28;8701,82;8597,40;8758,32;8653,22;9211,18;9295,78;10563,39;10467,25;11199,73;11097,81;11267,60;11165,07;11336,31;11233,15;11476,28;11371,82;11547,55;11442,47;11619,73;11513,97;11692,81;11586,39;11766,81;11659,73;11917,67;11809,20;11994,55;11885,40;12072,43;11962,57;Não;Sim;Sim;Não;;Positiva;Sim;- (*) ;
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;507619060021902;1126001990018;7896382708442;    -     ;    -     ;VERZENIOS;50 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;Regulado;2817,37;3155,46;3585,75;3201,56;3801,76;3394,43;3824,80;3415,00;3848,12;3435,82;3895,63;3478,24;3919,83;3499,84;3944,33;3521,72;3969,13;3543,87;3994,25;3566,30;4045,46;3612,02;4071,56;3635,32;4098,00;3658,93;3894,86;4232,94;4810,16;4425,97;5099,93;4692,60;5130,83;4721,04;5162,12;4749,82;5225,85;4808,46;5258,31;4838,32;5291,18;4868,57;5324,45;4899,19;5358,14;4930,20;5426,84;4993,41;5461,85;5025,62;5497,32;5058,26;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;507619060022102;1126001990034;7896382708466;    -     ;    -     ;VERZENIOS;100 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;Regulado;5634,72;6310,89;7171,47;6403,10;7603,48;6788,82;7649,56;6829,97;7696,21;6871,61;7791,22;6956,44;7839,61;6999,65;7888,61;7043,40;7938,23;7087,70;7988,47;7132,56;8090,88;7224,00;8143,09;7270,61;8195,96;7317,82;7789,67;8465,83;9620,27;8851,91;10199,80;9385,15;10261,61;9442,03;10324,19;9499,60;10451,64;9616,87;10516,56;9676,61;10582,29;9737,09;10648,85;9798,33;10716,25;9860,35;10853,63;9986,76;10923,67;10051,19;10994,59;10116,46;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;507619060022302;1126001990050;7896382708480;    -     ;    -     ;VERZENIOS;150 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;Regulado;8090,99;9061,91;10297,63;9194,31;10917,96;9748,18;10984,13;9807,26;11051,11;9867,06;11187,54;9988,87;11257,03;10050,92;11327,39;10113,73;11398,63;10177,34;11470,77;10241,76;11617,83;10373,06;11692,79;10439,98;11768,71;10507,77;11185,32;12156,23;13813,90;12710,59;14646,05;13476,29;14734,82;13557,96;14824,67;13640,63;15007,69;13809,03;15100,90;13894,81;15195,29;13981,64;15290,86;14069,58;15387,63;14158,63;15584,91;14340,15;15685,46;14432,66;15787,31;14526,38;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;507619060022402;1126001990069;7896382708497;    -     ;    -     ;VERZENIOS;150 MG COM REV CT BL AL AL X 60;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;Regulado;16181,97;18123,81;20595,25;18388,62;21835,91;19496,34;21968,25;19614,51;22102,20;19734,11;22375,08;19977,73;22514,05;20101,82;22654,76;20227,46;22797,25;20354,67;22941,54;20483,51;23235,65;20746,11;23385,57;20879,95;23537,41;21015,54;22370,63;24312,45;27627,79;25421,19;29292,10;26952,55;29469,63;27115,91;29649,31;27281,25;30015,37;27618,04;30201,80;27789,59;30390,55;27963,28;30581,70;28139,14;30775,26;28317,25;31169,80;28680,28;31370,91;28865,31;31574,60;29052,75;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;507619060022502;1126001990077;7896382708503;    -     ;    -     ;VERZENIOS;200 MG COM REV CT BL AL AL X 30;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;Regulado;10104,23;11316,74;12859,94;11482,09;13634,62;12173,77;13717,26;12247,55;13800,90;12322,23;13971,29;12474,35;14058,06;12551,84;14145,93;12630,29;14234,90;12709,72;14324,99;12790,17;14508,64;12954,14;14602,25;13037,71;14697,06;13122,37;13968,51;15181,00;17251,15;15873,32;18290,36;16829,52;18401,22;16931,52;18513,42;17034,76;18741,99;17245,06;18858,39;17352,18;18976,26;17460,63;19095,61;17570,44;19216,46;17681,66;19462,82;17908,34;19588,40;18023,87;19715,58;18140,91;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ABEMACICLIBE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;507619060022602;1126001990085;7896382708510;    -     ;    -     ;VERZENIOS;200 MG COM REV CT BL AL AL X 60;L1H - INIBIDORES DE PROTEINA QUINASE;Novo;Regulado;20208,45;22633,47;25719,86;22964,17;27269,23;24347,53;27434,50;24495,10;27601,79;24644,45;27942,56;24948,69;28116,11;25103,66;28291,84;25260,56;28469,78;25419,42;28649,97;25580,33;29017,26;25908,26;29204,49;26075,41;29394,11;26244,73;27937,00;30361,99;34502,28;31746,62;36580,70;33659,03;36802,40;33863,04;37026,82;34069,51;37483,95;34490,10;37716,76;34704,34;37952,50;34921,24;38191,20;35140,86;38432,91;35363,31;38925,62;35816,65;39176,78;36047,72;39431,15;36281,80;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ABROCITINIBE;61.072.393/0001-33;PFIZER BRASIL LTDA;522723100092502;1211004910013;7891045164542;    -     ;    -     ;CIBINQO;50 MG COM REV CT FR PLAS PEAD OPC X 30;D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS;Novo;Regulado;2215,02;2480,82;2819,11;2517,07;2988,94;2668,69;3007,05;2684,87;3025,39;2701,24;3062,74;2734,59;3081,76;2751,57;3101,03;2768,77;3120,53;2786,18;3140,28;2803,82;3180,54;2839,76;3201,06;2858,09;3221,84;2876,64;3062,13;3327,93;3781,74;3479,70;4009,56;3689,31;4033,85;3711,68;4058,45;3734,31;4108,56;3780,41;4134,07;3803,88;4159,92;3827,66;4186,08;3851,73;4212,57;3876,12;4266,58;3925,80;4294,11;3951,14;4321,98;3976,79;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
